AssistID,MatchID,PlayerID,TeamID,Minute
1,1983,83,19,39
2,1245,176,7,25
3,1146,234,3,51
4,1683,571,26,4
5,1908,316,24,46
6,1287,831,31,2
7,21,243,32,60
8,2331,319,18,39
9,2389,329,7,29
10,760,531,11,11
11,2157,648,4,3
12,104,570,16,78
13,869,850,18,83
14,1722,201,38,81
15,336,760,21,12
16,1841,419,1,67
17,1585,452,15,70
18,1140,441,15,89
19,1600,715,25,67
20,2154,445,40,62
21,2260,453,39,51
22,1859,70,20,22
23,541,725,37,16
24,2290,460,36,41
25,566,727,27,28
26,1337,187,5,65
27,1859,408,39,68
28,2027,874,26,18
29,2056,770,35,22
30,165,166,10,22
31,778,593,2,58
32,459,411,37,84
33,309,870,1,72
34,979,11,31,62
35,145,100,26,64
36,2218,885,8,39
37,2218,780,3,28
38,1571,73,8,17
39,1043,670,7,51
40,1496,368,20,60
41,2493,680,20,22
42,2459,736,16,39
43,40,423,6,46
44,1420,748,10,64
45,963,366,35,73
46,1866,625,33,9
47,1225,330,30,76
48,1494,175,2,15
49,155,547,18,63
50,50,774,6,32
51,397,109,39,26
52,689,505,15,23
53,1805,815,6,12
54,773,38,22,10
55,56,701,34,43
56,163,743,14,60
57,336,532,16,9
58,658,124,27,51
59,692,590,3,67
60,292,76,27,24
61,424,841,40,35
62,1193,134,13,71
63,425,721,28,70
64,654,419,30,18
65,80,44,35,74
66,2191,598,25,37
67,489,817,16,53
68,656,169,38,5
69,374,348,1,3
70,1157,898,12,55
71,1001,376,28,38
72,587,631,11,84
73,1196,369,30,88
74,853,436,27,56
75,2298,885,37,48
76,19,673,13,18
77,1379,822,27,31
78,829,855,20,31
79,513,467,7,24
80,235,307,29,13
81,1031,201,23,54
82,1208,657,2,47
83,198,329,33,86
84,2362,300,8,82
85,1328,686,27,27
86,448,608,34,59
87,375,174,28,78
88,2341,49,39,11
89,374,746,32,46
90,1694,897,20,35
91,964,437,21,38
92,1393,94,35,13
93,671,696,15,79
94,692,118,31,52
95,2161,825,17,60
96,1319,235,9,73
97,995,555,23,55
98,1785,63,13,73
99,1487,456,23,15
100,1832,761,33,77
101,2121,120,7,68
102,1967,134,40,69
103,879,412,26,63
104,666,777,22,44
105,480,248,29,18
106,1754,567,9,90
107,1260,189,18,7
108,1284,766,7,42
109,2076,179,16,35
110,210,498,6,47
111,971,185,28,36
112,1994,776,25,34
113,2149,470,35,39
114,557,881,15,41
115,565,439,21,53
